article_id,question_id,relevance
0,14,1.0
2,16,1.0
3,17,1.0
4,17,1.0
5,15,1.0
10,18,1.0
12,15,1.0
18,28,1.0
25,8,1.0
46,8,1.0
55,1,1.0
56,1,1.0
58,15,1.0
58,18,1.0
70,1,1.0
71,0,1.0
72,1,1.0
75,8,1.0
78,2,1.0
101,11,1.0
122,0,1.0
123,0,1.0
125,1,1.0
129,1,1.0
142,0,1.0
145,1,1.0
145,2,1.0
149,2,1.0
149,18,1.0
151,1,1.0
162,0,1.0
164,1,1.0
164,2,1.0
165,0,1.0
165,2,1.0
173,0,1.0
173,2,1.0
176,1,1.0
180,2,1.0
181,1,1.0
184,1,1.0
186,0,1.0
186,24,1.0
192,0,1.0
192,1,1.0
192,2,1.0
192,8,1.0
196,5,1.0
196,24,1.0
198,5,1.0
199,24,1.0
204,1,1.0
219,2,1.0
220,1,1.0
235,15,1.0
235,18,1.0
256,1,1.0
272,2,1.0
276,2,1.0
281,8,1.0
297,2,1.0
299,0,1.0
309,2,1.0
320,0,1.0
324,0,1.0
324,17,1.0
326,0,1.0
334,10,1.0
335,0,1.0
336,0,1.0
338,0,1.0
344,0,1.0
352,17,1.0
361,8,1.0
364,1,1.0
367,0,1.0
371,22,1.0
375,6,1.0
378,5,1.0
379,5,1.0
379,24,1.0
381,24,1.0
386,5,1.0
386,24,1.0
392,24,1.0
393,24,1.0
395,0,1.0
402,4,1.0
407,5,1.0
407,24,1.0
414,24,1.0
417,24,1.0
424,1,1.0
426,5,1.0
426,24,1.0
428,11,1.0
428,25,1.0
429,25,1.0
435,2,1.0
435,18,1.0
452,1,1.0
452,8,1.0
458,2,1.0
459,4,1.0
460,5,1.0
461,6,1.0
461,11,1.0
464,20,1.0
466,7,1.0
468,8,1.0
470,15,1.0
470,18,1.0
471,6,1.0
472,10,1.0
474,0,1.0
474,6,1.0
474,11,1.0
475,12,1.0
477,2,1.0
480,6,1.0
480,11,1.0
482,1,1.0
483,2,1.0
484,1,1.0
488,11,1.0
488,25,1.0
489,11,1.0
491,11,1.0
494,11,1.0
495,11,1.0
496,2,1.0
496,11,1.0
496,13,1.0
498,2,1.0
498,11,1.0
498,13,1.0
499,2,1.0
499,11,1.0
499,13,1.0
500,11,1.0
501,0,1.0
501,11,1.0
502,11,1.0
